title,rating_count,rating_mean,rating_std,std_z
Dumb & Dumber (1994),660,3.1924242424242424,1.3213331436461841,3.3100470354303204
"Blair Witch Project, The (1999)",1237,3.0315278900565885,1.3163677138860737,3.2634566277811707
Natural Born Killers (1994),700,3.144285714285714,1.307197606900584,3.1774139198422766
Tank Girl (1995),358,2.6145251396648046,1.2776953925615253,2.9005959485860004
"Rocky Horror Picture Show, The (1975)",1233,3.291159772911598,1.2601772839374212,2.7362243107882422
Eyes Wide Shut (1999),945,3.201058201058201,1.259623523675699,2.731028402764167
Evita (1996),282,3.25531914893617,1.253631055394044,2.6748013381282365
Billy Madison (1995),355,3.183098591549296,1.2499701595865267,2.64045131481233
Fear and Loathing in Las Vegas (1998),298,3.3456375838926173,1.246408076755582,2.607028449281743
Bicentennial Man (1999),383,2.906005221932115,1.2455325276601854,2.598813210874974
Hellraiser (1987),279,3.111111111111111,1.2430462054585405,2.575484159711598
Babe: Pig in the City (1998),523,3.2906309751434035,1.2393794731648196,2.541079372903989
Wes Craven's New Nightmare (1994),251,2.8207171314741037,1.23763043097095,2.52466818741858
"South Park: Bigger, Longer and Uncut (1999)",1269,3.760441292356186,1.2353795291863594,2.503548075607766
Deuce Bigalow: Male Gigolo (1999),308,2.762987012987013,1.2263370048001445,2.4187024695505466
Scary Movie (2000),613,3.0114192495921697,1.2240242647676391,2.3970021321967594
Serial Mom (1994),389,3.0488431876606685,1.2227145516558837,2.384713152042348
"Waterboy, The (1998)",420,2.926190476190476,1.2190922566480942,2.3507253183216594
Toys (1992),440,2.5636363636363635,1.2188890922376052,2.348819035650919
"Thin Red Line, The (1998)",803,3.398505603985056,1.215280006693644,2.314955145744627
"Last Temptation of Christ, The (1988)",254,3.531496062992126,1.2146146146164114,2.3087118013368935
Patch Adams (1998),474,3.1371308016877637,1.213112379208276,2.2946163929973635
For Love of the Game (1999),354,3.152542372881356,1.2110945016666363,2.275682737343564
Armageddon (1998),1110,3.191891891891892,1.203439250556881,2.2038538550330484
Starship Troopers (1997),1163,3.1332760103181427,1.2032451167638634,2.20203230624631
