title,mean_F,mean_M,diff_M_minus_F,count_F,count_M
Dumb & Dumber (1994),2.697986577181208,3.336594911937378,0.63860833475617,149.0,511.0
Caddyshack (1980),3.396135265700483,3.969736842105263,0.5736015764047799,207.0,760.0
Animal House (1978),3.62890625,4.167192429022082,0.5382861790220819,256.0,951.0
"Exorcist, The (1973)",3.5376344086021505,4.067238912732475,0.5296045041303246,186.0,699.0
From Dusk Till Dawn (1996),2.7357142857142858,3.2325581395348837,0.4968438538205979,140.0,774.0
"Me, Myself and Irene (2000)",2.6293103448275863,3.0968468468468466,0.46753650201926034,116.0,444.0
Kingpin (1996),3.0923076923076924,3.55748031496063,0.4651726226529376,130.0,635.0
Reservoir Dogs (1992),3.769230769230769,4.213872832369942,0.444642063139173,221.0,1038.0
Raging Bull (1980),3.831932773109244,4.263440860215054,0.4315080871058101,119.0,558.0
"South Park: Bigger, Longer and Uncut (1999)",3.4224806201550386,3.8466864490603365,0.4242058289052979,258.0,1011.0
Eyes Wide Shut (1999),2.8912133891213387,3.3059490084985836,0.4147356193772449,239.0,706.0
Airplane! (1980),3.6565656565656566,4.064419475655431,0.40785381908977403,396.0,1335.0
Predator (1987),3.2994011976047903,3.7061946902654865,0.4067934926606962,167.0,1130.0
Unforgiven (1992),3.748427672955975,4.155131264916467,0.40670359196049244,159.0,838.0
"Godfather: Part II, The (1974)",4.04093567251462,4.437777777777778,0.39684210526315766,342.0,1350.0
