title,mean_F,mean_M,diff_M_minus_F,count_F,count_M
Dirty Dancing (1987),3.790378006872852,2.95959595959596,-0.8307820472768923,291.0,396.0
Jumpin' Jack Flash (1986),3.2547169811320753,2.578358208955224,-0.6763587721768514,106.0,268.0
Grease (1978),3.9752650176678443,3.3670411985018727,-0.6082238191659717,283.0,534.0
Little Women (1994),3.8705882352941177,3.3217391304347825,-0.5488491048593351,170.0,115.0
Steel Magnolias (1989),3.901734104046243,3.3659574468085105,-0.5357766572377325,173.0,235.0
Anastasia (1997),3.8,3.281609195402299,-0.518390804597701,130.0,174.0
"Rocky Horror Picture Show, The (1975)",3.673015873015873,3.1601307189542482,-0.5128851540616246,315.0,918.0
"Color Purple, The (1985)",4.15819209039548,3.659340659340659,-0.4988514310548209,177.0,273.0
"Age of Innocence, The (1993)",3.827067669172932,3.3395061728395063,-0.4875614963334258,133.0,162.0
French Kiss (1995),3.5357142857142856,3.0569620253164556,-0.47875226039783003,168.0,158.0
"Little Shop of Horrors, The (1960)",3.65,3.1796875,-0.4703124999999999,100.0,256.0
Guys and Dolls (1955),4.051724137931035,3.5833333333333335,-0.4683908045977012,116.0,144.0
Mary Poppins (1964),4.19774011299435,3.730593607305936,-0.4671465056884143,354.0,657.0
Patch Adams (1998),3.4732824427480917,3.008746355685131,-0.4645360870629607,131.0,343.0
Grease 2 (1982),2.243478260869565,1.7925531914893618,-0.4509250693802034,115.0,188.0
